H	355_Anlg	353_Anlg	460_Anlg	532_Anlg	530_Anlg	355_Anlg_Molec	532_Anlg_Molec		MolecExt355_Anlg	MolecBack355_Anlg	MolecExt353_Anlg	MolecBack353_Anlg	MolecExt460_Anlg	MolecBack460_Anlg	MolecExt532_Anlg	MolecBack532_Anlg	MolecExt530_Anlg	MolecBack530_Anlg
6573.75	0.008650086	0.0018420238	-7.2519139E-5	0.0056041058	0.0014258639	0.0087837071	0.0055907193		4.9363285E-5	5.8112413E-6	5.0548385E-5	5.9507559E-6	1.6838295E-5	1.9822708E-6	9.2801644E-6	1.0924977E-6	9.4239927E-6	1.1094297E-6
6577.5	0.0085196372	0.0018512084	5.2046207E-5	0.0056047181	0.0014523263	0.0087686978	0.005582844		4.935344E-5	5.8100823E-6	5.0538303E-5	5.9495691E-6	1.6834937E-5	1.9818754E-6	9.2783135E-6	1.0922798E-6	9.4221132E-6	1.1092085E-6
6581.25	0.008822598	0.0019002998	-8.0933779E-6	0.0055636134	0.0015395407	0.0087537288	0.0055749888		4.9343643E-5	5.808929E-6	5.0528271E-5	5.9483881E-6	1.6831595E-5	1.981482E-6	9.2764718E-6	1.092063E-6	9.4202429E-6	1.1089883E-6
6585	0.0088858258	0.0018952948	-6.4745453E-5	0.0053249718	0.0014607123	0.0087388001	0.0055671537		4.9333897E-5	5.8077816E-6	5.0518291E-5	5.9472132E-6	1.6828271E-5	1.9810906E-6	9.2746395E-6	1.0918473E-6	9.4183822E-6	1.1087692E-6
6588.75	0.0089419986	0.0020161064	3.2878212E-5	0.0052951283	0.0014705626	0.008723912	0.0055593389		4.9324202E-5	5.8066403E-6	5.0508363E-5	5.9460444E-6	1.6824964E-5	1.9807013E-6	9.2728169E-6	1.0916327E-6	9.4165314E-6	1.1085513E-6
6592.5	0.0088679889	0.0020621363	5.9660161E-5	0.0055901291	0.0014528055	0.0087090647	0.0055515446		4.9314561E-5	5.8055053E-6	5.049849E-5	5.9448821E-6	1.6821675E-5	1.9803141E-6	9.2710043E-6	1.0914193E-6	9.4146907E-6	1.1083347E-6
6596.25	0.0085702194	0.0019142498	-5.3990077E-5	0.0056168578	0.0014999801	0.0086942581	0.0055437707		4.9304974E-5	5.8043767E-6	5.0488673E-5	5.9437264E-6	1.6818405E-5	1.9799292E-6	9.269202E-6	1.0912071E-6	9.4128604E-6	1.1081192E-6
6600	0.0083724163	0.0019194146	6.5144337E-5	0.0054059832	0.0015635806	0.0086794925	0.0055360176		4.9295443E-5	5.8032547E-6	5.0478914E-5	5.9425775E-6	1.6815154E-5	1.9795464E-6	9.2674103E-6	1.0909962E-6	9.4110409E-6	1.107905E-6
6603.75	0.0085679565	0.0020003727	0.00015238534	0.0054491911	0.0014310019	0.0086647681	0.0055282852		4.928597E-5	5.8021395E-6	5.0469213E-5	5.9414356E-6	1.6811922E-5	1.979166E-6	9.2656294E-6	1.0907866E-6	9.4092325E-6	1.1076921E-6
6607.5	0.0086492874	0.0019687455	4.150381E-5	0.0056460358	0.0013380372	0.0086500848	0.0055205736		4.9276556E-5	5.8010312E-6	5.0459573E-5	5.9403007E-6	1.6808711E-5	1.978788E-6	9.2638596E-6	1.0905782E-6	9.4074352E-6	1.1074805E-6
