H	Ext	Back	LR	SR	Back_sp	LR_sp	SR_sp	
926.25	-2.6825306E-5	1.376772E-6	-19.484204	1.9326525	1.3737437E-6	-19.527155	1.9306011	
930	-2.2758461E-5	1.3680294E-6	-16.635945	1.9269068	1.3610409E-6	-16.721364	1.9221718	
933.75	-1.9981568E-5	1.3547588E-6	-14.74917	1.9180905	1.3494032E-6	-14.807708	1.9144611	
937.5	-1.6309078E-5	1.337534E-6	-12.193393	1.9065907	1.3387241E-6	-12.182554	1.9073973	
941.25	-1.5098232E-5	1.3287529E-6	-11.362709	1.9008107	1.3280691E-6	-11.368559	1.9003472	
945	-1.5234752E-5	1.322053E-6	-11.523556	1.8964399	1.3177341E-6	-11.561324	1.8935114	
948.75	-8.9073351E-6	1.3021343E-6	-6.8405654	1.8831026	1.3082323E-6	-6.80868	1.8872382	
952.5	-4.4402289E-7	1.2885356E-6	-0.34459496	1.8740472	1.2988199E-6	-0.3418664	1.8810233	
956.25	2.1675089E-6	1.2831036E-6	1.6892704	1.8705292	1.2894282E-6	1.6809846	1.8748202	
960	-7.0484016E-7	1.2804841E-6	-0.55044819	1.8689184	1.2811688E-6	-0.55015403	1.869383	
963.75	-4.8186022E-6	1.2754909E-6	-3.7778413	1.8656961	1.2735127E-6	-3.7837097	1.8643534	
967.5	-3.8798637E-6	1.2687875E-6	-3.0579304	1.8613115	1.2650401E-6	-3.0669887	1.8587677	
971.25	-1.6377546E-6	1.2608323E-6	-1.2989472	1.8560755	1.256953E-6	-1.3029561	1.8534415	
975	-4.2101623E-6	1.244672E-6	-3.3825475	1.8452654	1.2499573E-6	-3.3682448	1.8488547	
978.75	-5.9487719E-6	1.2402165E-6	-4.7965594	1.8424014	1.243046E-6	-4.7856409	1.8443233	
982.5	-5.9025092E-6	1.2485118E-6	-4.7276359	1.8481989	1.2367434E-6	-4.7726225	1.8402038	
986.25	-6.2218104E-6	1.2424028E-6	-5.0078852	1.844211	1.2310887E-6	-5.0539089	1.8365231	
990	-6.3235485E-6	1.226221E-6	-5.1569403	1.8333758	1.2257218E-6	-5.1590404	1.8330366	
993.75	-8.4643602E-6	1.2139133E-6	-6.9727878	1.82517	1.2210485E-6	-6.9320426	1.8300202	
997.5	-9.6711473E-6	1.208413E-6	-8.0031805	1.8215892	1.2171545E-6	-7.9457025	1.8275325	
1001.25	-5.3291143E-6	1.2076812E-6	-4.412683	1.8212499	1.2129196E-6	-4.3936254	1.8248121	
1005	-1.0022405E-7	1.2144772E-6	-0.082524446	1.8260304	1.2079435E-6	-0.082970814	1.8215865	
1008.75	-2.9360879E-6	1.2170785E-6	-2.4124064	1.8279593	1.2048848E-6	-2.4368205	1.8196641	
1012.5	-1.0273821E-5	1.2088477E-6	-8.4988548	1.8225185	1.2032139E-6	-8.5386488	1.8186852	
1016.25	-1.350336E-5	1.1924015E-6	-11.324507	1.8114848	1.2013656E-6	-11.240009	1.8175853	
1020	-1.7713966E-5	1.1856618E-6	-14.94015	1.8070538	1.2003782E-6	-14.756988	1.8170709	
1023.75	-2.1643004E-5	1.2016312E-6	-18.011354	1.8180816	1.1998813E-6	-18.037621	1.8168902	
1027.5	-2.0478437E-5	1.2045351E-6	-17.001113	1.8202169	1.1992372E-6	-17.076219	1.8166093	
1031.25	-2.0749568E-5	1.1933811E-6	-17.387211	1.8127785	1.1990175E-6	-17.305476	1.8166173	
1035	-2.12046E-5	1.1997735E-6	-17.673836	1.8172899	1.1997846E-6	-17.673672	1.8172975	
1038.75	-1.4910772E-5	1.2017432E-6	-12.40762	1.8187897	1.2015728E-6	-12.409379	1.8186736	
1042.5	-9.2017206E-6	1.2043149E-6	-7.6406269	1.8207003	1.2047251E-6	-7.6380253	1.8209799	
1046.25	-8.8321702E-6	1.2111428E-6	-7.2924267	1.8255127	1.2086065E-6	-7.3077301	1.823784	
1050	-1.0871731E-5	1.2054088E-6	-9.0191238	1.8217631	1.2122655E-6	-8.9681103	1.8264375	
1053.75	-1.0141874E-5	1.202921E-6	-8.4310391	1.8202254	1.2156436E-6	-8.342802	1.8289005	
1057.5	-9.0510562E-6	1.2267453E-6	-7.3781053	1.8366319	1.2195318E-6	-7.4217469	1.8317123	
1061.25	-7.6289982E-6	1.2521104E-6	-6.0929116	1.8540957	1.2249036E-6	-6.228244	1.8355372	
1065	-1.8688871E-6	1.2297957E-6	-1.5196728	1.8390363	1.2314542E-6	-1.5176261	1.8401678	
1068.75	1.8760097E-6	1.2173184E-6	1.5411002	1.830684	1.2383706E-6	1.5149017	1.8450498	
1072.5	1.7764807E-7	1.237905E-6	0.14350703	1.8448953	1.244012E-6	0.14280254	1.8490635	
1076.25	-1.008588E-6	1.2404029E-6	-0.81311324	1.8467637	1.2491008E-6	-0.80745125	1.8527014	
1080	1.5815321E-6	1.2489914E-6	1.2662474	1.8527915	1.2562376E-6	1.2589435	1.8577391	
1083.75	3.337364E-6	1.2714282E-6	2.6248938	1.8682787	1.263613E-6	2.6411282	1.8629416	
1087.5	3.9795218E-6	1.2764288E-6	3.1176998	1.8718622	1.2694717E-6	3.1347857	1.8671102	
1091.25	6.5971848E-6	1.278469E-6	5.1602229	1.8734245	1.2756817E-6	5.1714976	1.8715203	
1095	6.8129108E-6	1.2935284E-6	5.2669202	1.8838836	1.2822961E-6	5.3130557	1.8762085	
1098.75	3.1885492E-6	1.2909469E-6	2.4699305	1.8822902	1.2893027E-6	2.4730803	1.8811665	
1102.5	2.5633577E-6	1.2857309E-6	1.9936969	1.8788953	1.295903E-6	1.9780475	1.8858487	
1106.25	5.5065967E-6	1.2970002E-6	4.2456405	1.8867702	1.3007679E-6	4.2333431	1.8893462	
1110	4.8077186E-6	1.3155686E-6	3.6544797	1.8996394	1.3054693E-6	3.6827513	1.8927331	
1113.75	6.7419055E-6	1.324753E-6	5.0891794	1.9060953	1.3113667E-6	5.1411291	1.8969395	
1117.5	1.9831876E-5	1.3218664E-6	15.002935	1.9042959	1.3173787E-6	15.054044	1.9012258	
1121.25	2.8938514E-5	1.3193551E-6	21.933832	1.9027525	1.3212798E-6	21.901882	1.9040694	
1125	3.2517525E-5	1.319104E-6	24.651221	1.9027553	1.3240187E-6	24.559717	1.9061187	
1128.75	3.3745259E-5	1.3393347E-6	25.195538	1.9167779	1.3295042E-6	25.381837	1.9100489	
1132.5	2.6163816E-5	1.3533914E-6	19.332039	1.926579	1.3363431E-6	19.578667	1.9149071	
1136.25	1.6451626E-5	1.336279E-6	12.31152	1.9150403	1.3425999E-6	12.253558	1.9193686	
1140	1.2479798E-5	1.3393687E-6	9.3176713	1.9173335	1.3493411E-6	9.248809	1.9241635	
1143.75	1.1820329E-5	1.3630468E-6	8.6719906	1.9337312	1.3561678E-6	8.7159782	1.9290189	
1147.5	1.3533288E-5	1.3674162E-6	9.8969784	1.9369058	1.3624601E-6	9.9329798	1.93351	
1151.25	1.8538005E-5	1.3650431E-6	13.580527	1.9354609	1.3694E-6	13.537319	1.9384467	
1155	1.8149351E-5	1.3594854E-6	13.350163	1.9318326	1.3775292E-6	13.175294	1.9442004	
1158.75	1.0592494E-5	1.3718429E-6	7.7213605	1.940485	1.3862851E-6	7.6409201	1.9503861	
1162.5	6.5012349E-6	1.401439E-6	4.6389709	1.9609612	1.3943747E-6	4.6624734	1.9561172	
1166.25	1.2875411E-5	1.4043583E-6	9.168181	1.9631496	1.4030221E-6	9.1769128	1.9622331	
1170	2.0162234E-5	1.4045418E-6	14.355026	1.9634622	1.4142618E-6	14.256366	1.9701297	
1173.75	2.0446198E-5	1.4349304E-6	14.248913	1.9844985	1.4275782E-6	14.322296	1.9794542	
