z_m,T_K,T_C,p_Pa,p_hPa
300.0,293.2,20.05000000000001,98604.07208997589,986.0407208997589
303.75,293.17562499999997,20.02562499999999,98560.9947927286,985.6099479272859
307.5,293.15125,20.001250000000027,98517.93273541571,985.1793273541572
311.25,293.126875,19.976875000000007,98474.88591391192,984.7488591391192
315.0,293.10249999999996,19.952499999999986,98431.85432409291,984.3185432409291
318.75,293.078125,19.928125000000023,98388.83796183541,983.8883796183541
322.5,293.05375,19.903750000000002,98345.83682301632,983.4583682301632
326.25,293.02937499999996,19.879374999999982,98302.85090351375,983.0285090351375
330.0,293.005,19.855000000000018,98259.88019920653,982.5988019920653
333.75,292.980625,19.830624999999998,98216.92470597409,982.1692470597409
337.5,292.95624999999995,19.806249999999977,98173.9844196968,981.7398441969681
341.25,292.931875,19.781875000000014,98131.05933625587,981.3105933625587
